x,y,county_fips,county_name,state_fips,state_name,nerc_reg,trans_reg,trans_grp,reeds_state
-122.7428889,47.07484814814815,53067,Thurston,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-122.4492103,48.634229375000004,53057,Skagit,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-122.6274167,47.696574999999996,53035,Kitsap,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-122.1993553,47.596635526315794,53033,King,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-120.3402105,47.34032105263158,53007,Chelan,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-122.3140656,47.22395737704918,53053,Pierce,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-122.0407818,47.94540181818182,53061,Snohomish,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-117.768611,33.473341678782724,06059,Orange,06,California,WECC_CA,CAISO,CAISO,CA
-119.24776,36.196532000000005,06107,Tulare,06,California,WECC_CA,CAISO,CAISO,CA
-119.1556715,34.12584763888985,06111,Ventura,06,California,WECC_CA,CAISO,CAISO,CA
-118.3976184,34.00253893612128,06037,Los Angeles,06,California,WECC_CA,CAISO,CAISO,CA
-115.5316061,32.917730303030304,06025,Imperial,06,California,WECC_CA,CAISO,CAISO,CA
-117.3021154,34.45652692307692,06071,San Bernardino,06,California,WECC_CA,CAISO,CAISO,CA
-118.3153224,33.700993996123096,06037,Los Angeles,06,California,WECC_CA,CAISO,CAISO,CA
-117.1022703,33.71336756756757,06065,Riverside,06,California,WECC_CA,CAISO,CAISO,CA
-117.5905357,34.017405357142856,06071,San Bernardino,06,California,WECC_CA,CAISO,CAISO,CA
-117.9155224,34.08505671641791,06037,Los Angeles,06,California,WECC_CA,CAISO,CAISO,CA
-118.5634,37.53074,06051,Mono,06,California,WECC_CA,CAISO,CAISO,CA
-116.5665,35.137299999999996,06071,San Bernardino,06,California,WECC_CA,CAISO,CAISO,CA
-118.3153448,34.22832241,06037,Los Angeles,06,California,WECC_CA,CAISO,CAISO,CA
-114.7565,34.02066666666666,06065,Riverside,06,California,WECC_CA,CAISO,CAISO,CA
-117.703,35.467866666666666,06029,Kern,06,California,WECC_CA,CAISO,CAISO,CA
-117.2958824,34.03411568627451,06071,San Bernardino,06,California,WECC_CA,CAISO,CAISO,CA
-116.3787805,33.83868536585366,06065,Riverside,06,California,WECC_CA,CAISO,CAISO,CA
-117.9485476,33.786544047619046,06059,Orange,06,California,WECC_CA,CAISO,CAISO,CA
-119.1025636,35.3573,06029,Kern,06,California,WECC_CA,CAISO,CAISO,CA
-118.6124286,34.275507142857144,06037,Los Angeles,06,California,WECC_CA,CAISO,CAISO,CA
-118.2661136,34.894845454545454,06029,Kern,06,California,WECC_CA,CAISO,CAISO,CA
-118.1765926,34.019212345679016,06037,Los Angeles,06,California,WECC_CA,CAISO,CAISO,CA
-117.0701833,32.689376767122674,06073,San Diego,06,California,WECC_CA,CAISO,CAISO,CA
-117.2770172,33.21155688223501,06073,San Diego,06,California,WECC_CA,CAISO,CAISO,CA
-117.0528605,32.93623953488372,06073,San Diego,06,California,WECC_CA,CAISO,CAISO,CA
-118.3598065,39.454124731182795,32001,Churchill,32,Nevada,WECC_NWPP,NorthernGrid,NorthernGrid_South,NV
