bus_id,land_usd_per_acre
bus_ccaef72e,125000.0
bus_5cb99bcb,114999.99999999999
bus_eda22473,125000.0
bus_82e2cae6,150000.0
bus_75dbcda8,114999.99999999999
bus_d6014a88,135000.0
bus_816a8bd1,135000.0
bus_affd34ae,150000.0
bus_b59a9294,125000.0
bus_001ae5c6,125000.0
bus_fef3c563,150000.0
bus_5d66e975,114999.99999999999
bus_8c960106,135000.0
bus_46bfe7b0,150000.0
bus_8c4ce5db,150000.0
bus_573f41b2,135000.0
bus_d054cc5a,150000.0
bus_850c1efd,100000.0
bus_fa2c6cf1,135000.0
bus_c8dec523,150000.0
bus_77a4632e,150000.0
bus_0d87c5b6,125000.0
bus_8fabdc4e,135000.0
bus_475d5479,150000.0
bus_5b2fbca2,150000.0
bus_1906eca9,125000.0
bus_bc5d44ea,150000.0
bus_b2512daf,125000.0
bus_27f1448f,150000.0
bus_e767da81,150000.0
bus_c820a516,150000.0
bus_c7e20017,150000.0
bus_e9824e05,105000.0
bus_b9dd508f,150000.0
bus_9ab58074,150000.0
bus_8b898815,150000.0
bus_43e68bd2,114999.99999999999
bus_2eff5c21,125000.0
bus_42561c2c,114999.99999999999
bus_c4bd70c9,114999.99999999999
bus_9e26eed4,100000.0
bus_8460a1a9,105000.0
bus_26606df9,125000.0
bus_cd12caba,114999.99999999999
bus_f20eb250,100000.0
bus_9ff9acd4,105000.0
bus_d7f98a17,105000.0
bus_b3dd22be,105000.0
bus_007fc663,150000.0
bus_cb6aba33,105000.0
bus_61bb0be0,105000.0
bus_ced995fd,100000.0
bus_239e9408,100000.0
bus_89bd3caa,114999.99999999999
bus_01346baf,114999.99999999999
bus_b1279b3f,150000.0
bus_9538eb07,114999.99999999999
bus_02a1bd2e,114999.99999999999
bus_2bdaf2be,150000.0
bus_c1181f6c,105000.0
bus_44431b12,114999.99999999999
bus_5b5e8346,114999.99999999999
bus_6d60b4f4,135000.0
bus_139d0c14,105000.0
bus_ce47f28b,100000.0
bus_c5130ccc,100000.0
bus_874d9c41,150000.0
bus_27cc095c,125000.0
bus_f0adbabe,135000.0
bus_7440ac87,105000.0
bus_7e1f53e0,150000.0
bus_9bd8dbf9,114999.99999999999
bus_a1c8c1e8,105000.0
bus_da75aa04,125000.0
bus_335d0fc8,105000.0
bus_8defa8a5,105000.0
bus_35052dc7,135000.0
bus_4af8861d,114999.99999999999
bus_85d2616c,105000.0
bus_bd4e3f5b,125000.0
bus_df4a49f8,125000.0
bus_5c2bd57a,105000.0
bus_00117431,100000.0
bus_200eead6,100000.0
bus_87db4562,150000.0
bus_91d8467c,150000.0
bus_a82e8302,114999.99999999999
bus_7c36f181,125000.0
bus_6b356700,125000.0
bus_16510349,135000.0
bus_29fba8fb,150000.0
bus_aeec73bd,125000.0
bus_6dc51421,100000.0
bus_ab8fa85a,100000.0
bus_401b47c6,150000.0
bus_fa805d35,100000.0
bus_8e496769,150000.0
bus_380ce326,125000.0
bus_62da227b,114999.99999999999
bus_4dde735a,125000.0
bus_c47f890e,125000.0
